"Label (Grouping)","EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate","COMMUTING TO WORK!!Workers 16 years and over!!Worked from home","COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes)","INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars)","INCOME AND BENEFITS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Median earnings for workers (dollars)"
"Uvalde, TX Micro Area","","","","",""
"    Estimate","(X)","320","17.6","55,000","29,080"
"    Percent","3.2%","3.3%","(X)","(X)","(X)"
"Valdosta, GA Metro Area","","","","",""
"    Estimate","(X)","2,635","20.4","51,216","33,324"
"    Percent","4.8%","4.1%","(X)","(X)","(X)"
"Vallejo, CA Metro Area","","","","",""
"    Estimate","(X)","20,044","32.7","97,037","48,170"
"    Percent","5.9%","9.6%","(X)","(X)","(X)"
"Van Wert, OH Micro Area","","","","",""
"    Estimate","(X)","499","20.2","64,841","40,811"
"    Percent","3.8%","3.6%","(X)","(X)","(X)"
"Vermillion, SD Micro Area","","","","",""
"    Estimate","(X)","559","16.9","55,963","22,296"
"    Percent","8.2%","7.6%","(X)","(X)","(X)"
"Vernal, UT Micro Area","","","","",""
"    Estimate","(X)","833","19.6","67,983","34,296"
"    Percent","6.3%","5.8%","(X)","(X)","(X)"
"Vernon, TX Micro Area","","","","",""
"    Estimate","(X)","181","16.0","50,769","28,135"
"    Percent","9.3%","3.3%","(X)","(X)","(X)"
"Vicksburg, MS Micro Area","","","","",""
"    Estimate","(X)","499","21.1","54,117","34,101"
"    Percent","4.7%","2.6%","(X)","(X)","(X)"
"Victoria, TX Metro Area","","","","",""
"    Estimate","(X)","2,663","22.2","66,105","35,823"
"    Percent","5.1%","6.0%","(X)","(X)","(X)"
"Vidalia, GA Micro Area","","","","",""
"    Estimate","(X)","648","25.3","47,430","33,340"
"    Percent","6.3%","4.9%","(X)","(X)","(X)"
"Vincennes, IN Micro Area","","","","",""
"    Estimate","(X)","377","20.6","58,173","37,069"
"    Percent","3.2%","2.1%","(X)","(X)","(X)"
"Vineland-Bridgeton, NJ Metro Area","","","","",""
"    Estimate","(X)","2,928","24.4","62,310","35,050"
"    Percent","7.8%","4.8%","(X)","(X)","(X)"
"Vineyard Haven, MA Micro Area","","","","",""
"    Estimate","(X)","1,787","15.7","93,225","45,503"
"    Percent","7.0%","17.7%","(X)","(X)","(X)"
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","","","","",""
"    Estimate","(X)","81,875","24.8","77,082","42,750"
"    Percent","5.2%","9.1%","(X)","(X)","(X)"
"Visalia, CA Metro Area","","","","",""
"    Estimate","(X)","9,562","23.2","64,474","33,102"
"    Percent","9.0%","5.2%","(X)","(X)","(X)"
"Wabash, IN Micro Area","","","","",""
"    Estimate","(X)","656","20.5","66,194","37,969"
"    Percent","3.5%","4.7%","(X)","(X)","(X)"
"Waco, TX Metro Area","","","","",""
"    Estimate","(X)","8,609","20.8","59,193","33,336"
"    Percent","4.6%","6.9%","(X)","(X)","(X)"
"Wahpeton, ND-MN Micro Area","","","","",""
"    Estimate","(X)","807","20.1","67,099","38,603"
"    Percent","3.2%","7.0%","(X)","(X)","(X)"
"Walla Walla, WA Metro Area","","","","",""
"    Estimate","(X)","2,797","15.1","66,635","34,419"
"    Percent","5.8%","10.4%","(X)","(X)","(X)"
"Wapakoneta, OH Micro Area","","","","",""
"    Estimate","(X)","1,143","18.7","75,231","44,054"
"    Percent","2.9%","4.8%","(X)","(X)","(X)"
"Warner Robins, GA Metro Area","","","","",""
"    Estimate","(X)","6,728","22.7","73,788","42,185"
"    Percent","5.1%","7.5%","(X)","(X)","(X)"
"Warren, PA Micro Area","","","","",""
"    Estimate","(X)","727","20.1","57,925","34,778"
"    Percent","4.3%","4.3%","(X)","(X)","(X)"
"Warrensburg, MO Micro Area","","","","",""
"    Estimate","(X)","1,384","23.1","62,503","32,761"
"    Percent","4.8%","5.2%","(X)","(X)","(X)"
"Warsaw, IN Micro Area","","","","",""
"    Estimate","(X)","2,742","20.0","70,945","40,436"
"    Percent","3.3%","7.0%","(X)","(X)","(X)"
"Washington, IN Micro Area","","","","",""
"    Estimate","(X)","710","23.1","64,113","40,042"
"    Percent","1.9%","4.7%","(X)","(X)","(X)"
"Washington, NC Micro Area","","","","",""
"    Estimate","(X)","1,355","24.1","56,081","35,833"
"    Percent","5.6%","7.1%","(X)","(X)","(X)"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","","","","",""
"    Estimate","(X)","648,339","33.7","119,803","60,914"
"    Percent","4.9%","19.3%","(X)","(X)","(X)"
"Washington Court House, OH Micro Area","","","","",""
"    Estimate","(X)","562","26.8","56,773","37,451"
"    Percent","4.3%","4.4%","(X)","(X)","(X)"
"Waterloo-Cedar Falls, IA Metro Area","","","","",""
"    Estimate","(X)","6,917","17.6","66,732","37,201"
"    Percent","4.7%","8.2%","(X)","(X)","(X)"
"Watertown, SD Micro Area","","","","",""
"    Estimate","(X)","1,008","15.5","67,993","38,715"
"    Percent","1.7%","5.6%","(X)","(X)","(X)"
"Watertown-Fort Atkinson, WI Micro Area","","","","",""
"    Estimate","(X)","3,631","25.3","77,018","41,499"
"    Percent","3.4%","7.9%","(X)","(X)","(X)"
"Watertown-Fort Drum, NY Metro Area","","","","",""
"    Estimate","(X)","3,434","19.6","62,782","36,719"
"    Percent","6.4%","6.3%","(X)","(X)","(X)"
"Wauchula, FL Micro Area","","","","",""
"    Estimate","(X)","325","27.6","44,665","33,033"
"    Percent","8.7%","3.7%","(X)","(X)","(X)"
"Wausau-Weston, WI Metro Area","","","","",""
"    Estimate","(X)","8,258","19.6","71,675","42,068"
"    Percent","3.4%","9.8%","(X)","(X)","(X)"
"Waycross, GA Micro Area","","","","",""
"    Estimate","(X)","693","23.3","49,055","32,859"
"    Percent","3.5%","3.2%","(X)","(X)","(X)"
"Weatherford, OK Micro Area","","","","",""
"    Estimate","(X)","416","18.7","58,669","31,270"
"    Percent","2.9%","3.0%","(X)","(X)","(X)"
"Weirton-Steubenville, WV-OH Metro Area","","","","",""
"    Estimate","(X)","3,456","23.7","54,142","34,345"
"    Percent","6.3%","7.0%","(X)","(X)","(X)"
"Wenatchee, WA Metro Area","","","","",""
"    Estimate","(X)","4,562","20.2","75,185","38,540"
"    Percent","3.7%","8.0%","(X)","(X)","(X)"
"West Plains, MO Micro Area","","","","",""
"    Estimate","(X)","491","20.7","46,401","30,733"
"    Percent","5.5%","3.2%","(X)","(X)","(X)"
"West Point, MS Micro Area","","","","",""
"    Estimate","(X)","602","22.2","37,412","31,445"
"    Percent","8.9%","8.6%","(X)","(X)","(X)"
"Wheeling, WV-OH Metro Area","","","","",""
"    Estimate","(X)","2,840","24.3","56,691","32,845"
"    Percent","5.4%","4.8%","(X)","(X)","(X)"
"Whitewater, WI Micro Area","","","","",""
"    Estimate","(X)","4,854","24.8","75,172","38,709"
"    Percent","3.1%","8.9%","(X)","(X)","(X)"
"Wichita, KS Metro Area","","","","",""
"    Estimate","(X)","19,995","20.3","66,643","38,526"
"    Percent","5.0%","6.5%","(X)","(X)","(X)"
"Wichita Falls, TX Metro Area","","","","",""
"    Estimate","(X)","4,164","16.8","60,641","34,402"
"    Percent","3.9%","5.9%","(X)","(X)","(X)"
"Williamsport, PA Metro Area","","","","",""
"    Estimate","(X)","3,233","20.7","63,437","36,135"
"    Percent","5.3%","6.3%","(X)","(X)","(X)"
"Williston, ND Micro Area","","","","",""
"    Estimate","(X)","588","16.9","86,139","50,925"
"    Percent","2.5%","2.9%","(X)","(X)","(X)"
"Willmar, MN Micro Area","","","","",""
"    Estimate","(X)","1,642","17.5","73,285","38,232"
"    Percent","3.8%","7.5%","(X)","(X)","(X)"
"Wilmington, NC Metro Area","","","","",""
"    Estimate","(X)","19,943","22.6","68,845","39,353"
"    Percent","5.1%","14.0%","(X)","(X)","(X)"
"Wilmington, OH Micro Area","","","","",""
"    Estimate","(X)","1,208","26.1","64,210","35,664"
"    Percent","4.7%","6.1%","(X)","(X)","(X)"
"Wilson, NC Micro Area","","","","",""
"    Estimate","(X)","1,785","22.6","49,827","34,991"
"    Percent","6.6%","5.2%","(X)","(X)","(X)"
"Winchester, VA-WV Metro Area","","","","",""
"    Estimate","(X)","6,299","31.0","79,416","43,674"
"    Percent","5.0%","9.4%","(X)","(X)","(X)"
"Winfield, KS Micro Area","","","","",""
"    Estimate","(X)","629","20.6","55,726","32,952"
"    Percent","5.3%","4.2%","(X)","(X)","(X)"
"Winnemucca, NV Micro Area","","","","",""
"    Estimate","(X)","717","27.9","75,574","44,556"
"    Percent","4.3%","8.8%","(X)","(X)","(X)"
"Winona, MN Micro Area","","","","",""
"    Estimate","(X)","2,221","17.5","66,162","33,289"
"    Percent","2.8%","8.2%","(X)","(X)","(X)"
"Winston-Salem, NC Metro Area","","","","",""
"    Estimate","(X)","27,230","24.3","60,145","37,249"
"    Percent","5.2%","8.9%","(X)","(X)","(X)"
"Wisconsin Rapids-Marshfield, WI Micro Area","","","","",""
"    Estimate","(X)","2,694","20.9","63,273","40,450"
"    Percent","4.2%","7.7%","(X)","(X)","(X)"
"Woodward, OK Micro Area","","","","",""
"    Estimate","(X)","317","21.6","60,873","34,962"
"    Percent","5.8%","2.9%","(X)","(X)","(X)"
"Wooster, OH Micro Area","","","","",""
"    Estimate","(X)","3,346","20.2","70,320","37,892"
"    Percent","3.3%","6.2%","(X)","(X)","(X)"
"Worcester, MA-CT Metro Area","","","","",""
"    Estimate","(X)","59,773","29.1","86,708","48,418"
"    Percent","5.8%","12.2%","(X)","(X)","(X)"
"Worthington, MN Micro Area","","","","",""
"    Estimate","(X)","564","18.9","62,973","35,849"
"    Percent","3.0%","5.4%","(X)","(X)","(X)"
"Yakima, WA Metro Area","","","","",""
"    Estimate","(X)","5,721","19.7","64,910","34,577"
"    Percent","7.2%","5.4%","(X)","(X)","(X)"
"Yankton, SD Micro Area","","","","",""
"    Estimate","(X)","643","14.7","68,847","41,085"
"    Percent","1.6%","5.5%","(X)","(X)","(X)"
"Yauco, PR Metro Area","","","","",""
"    Estimate","(X)","665","22.7","19,166","16,623"
"    Percent","17.4%","2.9%","(X)","(X)","(X)"
"York-Hanover, PA Metro Area","","","","",""
"    Estimate","(X)","20,659","26.8","79,183","44,067"
"    Percent","4.6%","9.1%","(X)","(X)","(X)"
"Youngstown-Warren-Boardman, OH-PA Metro Area","","","","",""
"    Estimate","(X)","15,183","22.6","54,650","34,658"
"    Percent","6.0%","6.5%","(X)","(X)","(X)"
"Yuba City, CA Metro Area","","","","",""
"    Estimate","(X)","5,034","29.5","70,176","38,520"
"    Percent","7.5%","6.7%","(X)","(X)","(X)"
"Yuma, AZ Metro Area","","","","",""
"    Estimate","(X)","4,533","20.8","56,439","32,675"
"    Percent","8.3%","5.9%","(X)","(X)","(X)"
"Zanesville, OH Micro Area","","","","",""
"    Estimate","(X)","1,666","25.0","56,810","36,022"
"    Percent","4.6%","4.3%","(X)","(X)","(X)"
"Zapata, TX Micro Area","","","","",""
"    Estimate","(X)","312","24.0","35,061","24,990"
"    Percent","8.1%","6.7%","(X)","(X)","(X)"
